AAPL,100,10,1
AAPL,101,12,2
AAPL,102,15,3
AAPL,104,18,4
AAPL,107,20,5
AAPL,110,22,6
AAPL,108,20,7
AAPL,105,19,8
AAPL,101,17,9
AAPL,97,15,10
AAPL,95,14,11
AAPL,98,16,12
AAPL,102,18,13
AAPL,107,21,14
AAPL,111,24,15
AAPL,115,27,16
AAPL,118,30,17
AAPL,116,28,18
AAPL,113,25,19
AAPL,110,23,20
AAPL,108,21,21
AAPL,106,20,22
AAPL,105,19,23
AAPL,104,18,24
AAPL,105,19,25
AAPL,106,20,26
AAPL,108,21,27
AAPL,110,23,28
AAPL,112,25,29
AAPL,114,27,30
AAPL,117,29,31
AAPL,120,32,32
AAPL,122,34,33
AAPL,119,31,34
AAPL,116,28,35
AAPL,113,26,36
AAPL,111,24,37
AAPL,109,22,38
AAPL,107,21,39
AAPL,105,20,40
AAPL,104,19,41
AAPL,103,18,42
AAPL,102,17,43
AAPL,101,16,44
AAPL,100,15,45
AAPL,99,14,46
AAPL,98,13,47
AAPL,97,12,48
AAPL,96,11,49
AAPL,95,10,50
AAPL,96,12,51
AAPL,98,14,52
AAPL,101,16,53
AAPL,104,18,54
AAPL,107,20,55
AAPL,109,22,56
AAPL,112,24,57
AAPL,114,26,58
AAPL,116,27,59
AAPL,118,29,60
AAPL,120,31,61
AAPL,121,32,62
AAPL,123,33,63
AAPL,125,35,64
AAPL,127,37,65
AAPL,129,39,66
AAPL,131,41,67
AAPL,128,38,68
AAPL,125,36,69
AAPL,122,33,70
AAPL,119,30,71
AAPL,116,28,72
AAPL,114,26,73
AAPL,112,25,74
AAPL,111,24,75
AAPL,110,23,76
AAPL,109,22,77
AAPL,108,21,78
AAPL,107,20,79
AAPL,106,19,80
AAPL,107,20,81
AAPL,109,22,82
AAPL,112,25,83
AAPL,115,28,84
AAPL,118,30,85
AAPL,121,32,86
AAPL,124,34,87
AAPL,127,36,88
AAPL,130,38,89
AAPL,133,40,90
AAPL,135,42,91
AAPL,132,39,92
AAPL,129,37,93
AAPL,126,35,94
AAPL,123,33,95
AAPL,120,31,96
AAPL,118,29,97
AAPL,116,28,98
AAPL,115,27,99
AAPL,114,26,100
